Book_Name,Description,Author,Rating,No_of_Ratings,Regular_Price,Language,Book_Audio_Length,Cover_IMG,Book_URL
Upstream,How to Solve Problems Before They Happen,Dan Heath,4.5 out of 5 stars,76 ratings,₹888.00,"['Language:', 'English']",Length: 7 hrs and 46 mins,https://m.media-amazon.com/images/I/41cjhJDa6oL._SL500_.jpg,https://www.audible.in/pd/Upstream-Audiobook/B082FL5LWG
The Culture Code,The Secrets of Highly Successful Groups,Daniel Coyle,4.5 out of 5 stars,60 ratings,₹569.00,"['Language:', 'English']",Length: 6 hrs and 44 mins,https://m.media-amazon.com/images/I/51xwcagkYyL._SL500_.jpg,https://www.audible.in/pd/The-Culture-Code-Audiobook/B07GH6224C
Traffic Secrets,The Underground Playbook for Filling Your Websites and Funnels with Your Dream Customers,Russell Brunson,5 out of 5 stars,30 ratings,₹750.00,"['Language:', 'English']",Length: 6 hrs and 58 mins,https://m.media-amazon.com/images/I/51hWa7NS0NL._SL500_.jpg,https://www.audible.in/pd/Traffic-Secrets-Audiobook/B08B9K9CCY
Blink,The Power of Thinking Without Thinking,Malcolm Gladwell,4.5 out of 5 stars,3 ratings,₹500.00,"['Language:', 'English']",Length: 7 hrs and 44 mins,https://m.media-amazon.com/images/I/417cu5MG5QL._SL500_.jpg,https://www.audible.in/pd/Blink-Audiobook/B079TL3PCJ
How Come No One Told Me That,"Life Lessons, Practical Advice and Timeless Wisdom for Success",Prakash Iyer,5 out of 5 stars,10 ratings,₹879.00,"['Language:', 'English']",Length: 8 hrs and 21 mins,https://m.media-amazon.com/images/I/41k8Ma4uAnL._SL500_.jpg,https://www.audible.in/pd/How-Come-No-One-Told-Me-That-Audiobook/B09NP5NFRV
Why Nations Fail,"The Origins of Power, Prosperity, and Poverty",Daron Acemoglu,4.5 out of 5 stars,185 ratings,"₹1,206.00","['Language:', 'English']",Length: 17 hrs and 55 mins,https://m.media-amazon.com/images/I/61-ytaG7QmL._SL500_.jpg,https://www.audible.in/pd/Why-Nations-Fail-Audiobook/B079B9RZQK
Linchpin,Are You Indispensable?,Seth Godin,4.5 out of 5 stars,81 ratings,₹879.00,"['Language:', 'English']",Length: 8 hrs and 19 mins,https://m.media-amazon.com/images/I/51TCLkXFLzL._SL500_.jpg,https://www.audible.in/pd/Linchpin-Audiobook/B079BB6SJZ
The Talent Code,Greatness Isn't Born. It's Grown.,Daniel Coyle,4.5 out of 5 stars,40 ratings,₹569.00,"['Language:', 'English']",Length: 6 hrs and 42 mins,https://m.media-amazon.com/images/I/41gfLpMnkML._SL500_.jpg,https://www.audible.in/pd/The-Talent-Code-Audiobook/B07GH4HGV6
Rich Dad's Before You Quit Your Job,10 Real-Life Lessons Every Entrepreneur Should Know About Building a Multimillion-Dollar Business,Robert T. Kiyosaki,5 out of 5 stars,57 ratings,₹844.00,"['Language:', 'English']",Length: 7 hrs and 58 mins,https://m.media-amazon.com/images/I/514WKq-dKPL._SL500_.jpg,https://www.audible.in/pd/Rich-Dads-Before-You-Quit-Your-Job-Audiobook/B079B841KZ
Winning,,Jack Welch,4.5 out of 5 stars,13 ratings,"₹1,519.00","['Language:', 'English']",Length: 11 hrs and 23 mins,https://m.media-amazon.com/images/I/51x9yQbVFDL._SL500_.jpg,https://www.audible.in/pd/Winning-Audiobook/B079TKSXW1
University of Berkshire Hathaway,30 Years of Lessons Learned from Warren Buffett & Charlie Munger at the Annual Shareholders Meeting,Daniel Pecaut,4.5 out of 5 stars,72 ratings,"₹1,008.00","['Language:', 'English']",Length: 12 hrs and 21 mins,https://m.media-amazon.com/images/I/51+MXoneRBL._SL500_.jpg,https://www.audible.in/pd/University-of-Berkshire-Hathaway-Audiobook/1721334572
Deep Medicine,How Artificial Intelligence Can Make Healthcare Human Again,Eric Topol,4.5 out of 5 stars,29 ratings,₹938.00,"['Language:', 'English']",Length: 11 hrs and 6 mins,https://m.media-amazon.com/images/I/412l8mlfvIL._SL500_.jpg,https://www.audible.in/pd/Deep-Medicine-Audiobook/B07PFSKQ3S
The Wisdom of Crowds,"Why the Many Are Smarter Than the Few and How Collective Wisdom Shapes Business, Economies, Societies and Nations",James Surowiecki,4 out of 5 stars,15 ratings,₹902.00,"['Language:', 'English']",Length: 9 hrs and 29 mins,https://m.media-amazon.com/images/I/4171JOGCjRL._SL500_.jpg,https://www.audible.in/pd/The-Wisdom-of-Crowds-Audiobook/B079VXL5CN
Storytelling with Data,A Data Visualization Guide for Business Professionals,Cole Nussbaumer Knaflic,5 out of 5 stars,41 ratings,₹668.00,"['Language:', 'English']",Length: 5 hrs and 43 mins,https://m.media-amazon.com/images/I/413vWfrG4YL._SL500_.jpg,https://www.audible.in/pd/Storytelling-with-Data-Audiobook/B079H3M4RM
How Brands Grow,What Marketers Don't Know,Byron Sharp,4 out of 5 stars,30 ratings,₹668.00,"['Language:', 'English']",Length: 6 hrs and 34 mins,https://m.media-amazon.com/images/I/51RFs-uYvwL._SL500_.jpg,https://www.audible.in/pd/How-Brands-Grow-Audiobook/B079F3BTQD
Sales Revelation,Best of 45 Master Courses Reveals the Final Word in Sales,Brian Tracy,4.5 out of 5 stars,42 ratings,"₹2,008.00","['Language:', 'English']",Length: 11 hrs and 56 mins,https://m.media-amazon.com/images/I/51LT9HZJfBL._SL500_.jpg,https://www.audible.in/pd/Sales-Revelation-Audiobook/B0776ZBN93
Blockchain Revolution,,Don Tapscott,4 out of 5 stars,13 ratings,₹820.00,"['Language:', 'English']",Length: 17 hrs and 53 mins,https://m.media-amazon.com/images/I/5109Nkyd12L._SL500_.jpg,https://www.audible.in/pd/Blockchain-Revolution-Audiobook/B07DVZ2WQW
Leadership,Lessons from the Presidents for Turbulent Times,Doris Kearns Goodwin,4.5 out of 5 stars,11 ratings,₹820.00,"['Language:', 'English']",Length: 18 hrs and 4 mins,https://m.media-amazon.com/images/I/51+cHL4n9WL._SL500_.jpg,https://www.audible.in/pd/Leadership-Audiobook/B07H4YWV49
Competing Against Luck,The Story of Innovation and Customer Choice,Clayton M. Christensen,4.5 out of 5 stars,38 ratings,"₹1,181.00","['Language:', 'English']",Length: 7 hrs and 25 mins,https://m.media-amazon.com/images/I/51B73VJDKsL._SL500_.jpg,https://www.audible.in/pd/Competing-Against-Luck-Audiobook/B079B7ZN74
Secrets of Closing the Sale,,Zig Ziglar,4.5 out of 5 stars,11 ratings,"₹1,171.00","['Language:', 'English']",Length: 15 hrs and 14 mins,https://m.media-amazon.com/images/I/51s-62NzsEL._SL500_.jpg,https://www.audible.in/pd/Secrets-of-Closing-the-Sale-Audiobook/B079VGH739
Illogical,Saying Yes to a Life Without Limits,Emmanuel Acho,,Not rated yet,₹74.00,"['Language:', 'English']",Length: 4 hrs and 25 mins,https://m.media-amazon.com/images/I/51cZ+YY+mCL._SL500_.jpg,https://www.audible.in/pd/Illogical-Audiobook/B09HRCKJPT
Hacking Growth,How Today's Fastest-Growing Companies Drive Breakout Success,Morgan Brown,4.5 out of 5 stars,76 ratings,₹752.00,"['Language:', 'English']",Length: 10 hrs and 43 mins,https://m.media-amazon.com/images/I/51qaOxh4b0L._SL500_.jpg,https://www.audible.in/pd/Hacking-Growth-Audiobook/B06XZRTG6B
Decisive,How to Make Better Choices in Life and Work,Chip Heath,4.5 out of 5 stars,31 ratings,₹888.00,"['Language:', 'English']",Length: 9 hrs and 9 mins,https://m.media-amazon.com/images/I/41aMxZDV9RL._SL500_.jpg,https://www.audible.in/pd/Decisive-Audiobook/1473578736
Getting More,How You Can Negotiate to Succeed in Work and Life,Stuart Diamond,5 out of 5 stars,1 rating,"₹1,093.00","['Language:', 'English']",Length: 16 hrs and 25 mins,https://m.media-amazon.com/images/I/51D5MYakhtL._SL500_.jpg,https://www.audible.in/pd/Getting-More-Audiobook/0141970286
Talk Like TED,The 9 Public Speaking Secrets of the World's Top Minds,Carmine Gallo,4.5 out of 5 stars,41 ratings,₹323.00,"['Language:', 'English']",Length: 7 hrs and 42 mins,https://m.media-amazon.com/images/I/417B9G2ehVL._SL500_.jpg,https://www.audible.in/pd/Talk-Like-TED-Audiobook/B07B8Q8SHN
The Confident Mind,A Battle-Tested Guide to Unshakable Performance,Nathaniel Zinsser,,Not rated yet,₹888.00,"['Language:', 'English']",Length: 10 hrs and 34 mins,https://m.media-amazon.com/images/I/419CUVcprVL._SL500_.jpg,https://www.audible.in/pd/The-Confident-Mind-Audiobook/B09F71S1T2
How to Win Friends and Influence People,,Dale Carnegie,4.5 out of 5 stars,7 ratings,₹668.00,"['Language:', 'English']",Length: 6 hrs and 58 mins,https://m.media-amazon.com/images/I/414JSPgYJ1S._SL500_.jpg,https://www.audible.in/pd/How-to-Win-Friends-and-Influence-People-Audiobook/B093XBMLS7
Scaling Up,"How a Few Companies Make It...and Why the Rest Don't, Rockefeller Habits 2.0",Verne Harnish,4.5 out of 5 stars,15 ratings,₹668.00,"['Language:', 'English']",Length: 8 hrs and 49 mins,https://m.media-amazon.com/images/I/51uuM4mFaWL._SL500_.jpg,https://www.audible.in/pd/Scaling-Up-Audiobook/B076YPD9L6
The 33 Strategies of War,,Robert Greene,4.5 out of 5 stars,10 ratings,₹773.00,"['Language:', 'English']",Length: 10 hrs and 1 min,https://m.media-amazon.com/images/I/41pu5-DUmlL._SL500_.jpg,https://www.audible.in/pd/The-33-Strategies-of-War-Audiobook/B01MY0K1WG
Switch,How to Change Things When Change Is Hard,Chip Heath,4.5 out of 5 stars,31 ratings,₹888.00,"['Language:', 'English']",Length: 7 hrs and 43 mins,https://m.media-amazon.com/images/I/41i9CSZCz4L._SL500_.jpg,https://www.audible.in/pd/Switch-Audiobook/B0829GGW7M
Finding Flow,The Psychology of Engagement with Everyday Life,Mihaly Csikszentmihalyi,4.5 out of 5 stars,32 ratings,₹656.00,"['Language:', 'English']",Length: 5 hrs and 6 mins,https://m.media-amazon.com/images/I/51BnxW8S+mL._SL500_.jpg,https://www.audible.in/pd/Finding-Flow-Audiobook/B079TKSZZP
Think Like a Rocket Scientist,Simple Strategies for Giant Leaps in Work and Life,Ozan Varol,4.5 out of 5 stars,72 ratings,₹888.00,"['Language:', 'English']",Length: 10 hrs and 44 mins,https://m.media-amazon.com/images/I/41YzdDWS-JL._SL500_.jpg,https://www.audible.in/pd/Think-Like-a-Rocket-Scientist-Audiobook/B083JK3XJW
Purple Cow,Transform Your Business by Being Remarkable,Seth Godin,4.5 out of 5 stars,9 ratings,₹615.00,"['Language:', 'English']",Length: 2 hrs and 58 mins,https://m.media-amazon.com/images/I/51c-s+5XQqL._SL500_.jpg,https://www.audible.in/pd/Purple-Cow-Audiobook/0241992206
Chanakya and the Art of War,,Radhakrishnan Pillai,4.5 out of 5 stars,71 ratings,₹879.00,"['Language:', 'English']",Length: 5 hrs and 11 mins,https://m.media-amazon.com/images/I/51xJeEE5XAL._SL500_.jpg,https://www.audible.in/pd/Chanakya-and-the-Art-of-War-Audiobook/0143497502
HBR's 10 Must Reads on Design Thinking,HBR's 10 Must Reads Series,Harvard Business Review,4 out of 5 stars,22 ratings,₹586.00,"['Language:', 'English']",Length: 5 hrs and 52 mins,https://m.media-amazon.com/images/I/41Atall81IL._SL500_.jpg,https://www.audible.in/pd/HBRs-10-Must-Reads-on-Design-Thinking-Audiobook/B086XH8FYY
How to Day Trade for a Living,"A Beginner's Guide to Trading Tools and Tactics, Money Management, Discipline and Trading Psychology",Andrew Aziz,4.5 out of 5 stars,69 ratings,₹668.00,"['Language:', 'English']",Length: 6 hrs and 56 mins,https://m.media-amazon.com/images/I/51BNR8FKwoL._SL500_.jpg,https://www.audible.in/pd/How-to-Day-Trade-for-a-Living-Audiobook/B074TNNHDQ
Extreme Ownership,How U.S. Navy SEALs Lead and Win,Jocko Willink,4.5 out of 5 stars,52 ratings,₹134.00,"['Language:', 'English']",Length: 9 hrs and 33 mins,https://m.media-amazon.com/images/I/51EDhEokzbL._SL500_.jpg,https://www.audible.in/pd/Extreme-Ownership-Audiobook/B078XL5JX1
Fanatical Prospecting,"The Ultimate Guide for Starting Sales Conversations and Filling the Pipeline by Leveraging Social Selling, Telephone, E-Mail, and Cold Calling",Jeb Blount,4.5 out of 5 stars,35 ratings,₹668.00,"['Language:', 'English']",Length: 8 hrs and 21 mins,https://m.media-amazon.com/images/I/5122RIvPr8L._SL500_.jpg,https://www.audible.in/pd/Fanatical-Prospecting-Audiobook/B079BBBZWS
Flash Boys,,Michael Lewis,4.5 out of 5 stars,49 ratings,₹752.00,"['Language:', 'English']",Length: 10 hrs and 13 mins,https://m.media-amazon.com/images/I/41g0gQeEmYL._SL500_.jpg,https://www.audible.in/pd/Flash-Boys-Audiobook/B079WZ7SDJ
Smarter Faster Better,The Secrets of Being Productive,Charles Duhigg,4.5 out of 5 stars,49 ratings,₹752.00,"['Language:', 'English']",Length: 10 hrs and 22 mins,https://m.media-amazon.com/images/I/51AOYMarJKL._SL500_.jpg,https://www.audible.in/pd/Smarter-Faster-Better-Audiobook/B079YHP8WW
Expert Secrets,The Underground Playbook for Creating a Mass Movement of People Who Will Pay for Your Advice,Russell Brunson,4.5 out of 5 stars,44 ratings,₹586.00,"['Language:', 'English']",Length: 6 hrs and 11 mins,https://m.media-amazon.com/images/I/51LvvrVI2cL._SL500_.jpg,https://www.audible.in/pd/Expert-Secrets-Audiobook/B07DM5GV2P
"Crucial Conversations, Second Edition",Tools for Talking When Stakes Are High,Kerry Patterson,4.5 out of 5 stars,2 ratings,₹586.00,"['Language:', 'English']",Length: 6 hrs and 27 mins,https://m.media-amazon.com/images/I/51++ia8j+pL._SL500_.jpg,https://www.audible.in/pd/Crucial-Conversations-Second-Edition-Audiobook/1639298215
Storyworthy,"Engage, Teach, Persuade, and Change Your Life Through the Power of Storytelling",Matthew Dicks,4.5 out of 5 stars,95 ratings,"₹1,005.00","['Language:', 'English']",Length: 10 hrs and 1 min,https://m.media-amazon.com/images/I/51foPoGk58L._SL500_.jpg,https://www.audible.in/pd/Storyworthy-Audiobook/B07GT6VCGB
The Big Leap,,Gay Hendricks,4.5 out of 5 stars,41 ratings,"₹1,069.00","['Language:', 'English']",Length: 5 hrs and 27 mins,https://m.media-amazon.com/images/I/518JWQjqdrL._SL500_.jpg,https://www.audible.in/pd/The-Big-Leap-Audiobook/B079TNBG9G
Negotiation Genius,How to Overcome Obstacles and Achieve Brilliant Results at the Bargaining Table and Beyond,Deepak Malhotra,4.5 out of 5 stars,74 ratings,"₹1,256.00","['Language:', 'English']",Length: 11 hrs and 58 mins,https://m.media-amazon.com/images/I/510hbS5t-mL._SL500_.jpg,https://www.audible.in/pd/Negotiation-Genius-Audiobook/B079CMHM4P
Alibaba,The House That Jack Ma Built,Duncan Clark,4.5 out of 5 stars,152 ratings,"₹1,519.00","['Language:', 'English']",Length: 9 hrs and 9 mins,https://m.media-amazon.com/images/I/51YRHakTODL._SL500_.jpg,https://www.audible.in/pd/Alibaba-Audiobook/B079DG3974
The 12 Week Year,Get More Done in 12 Weeks than Others Do in 12 Months,Brian P. Moran,5 out of 5 stars,20 ratings,₹656.00,"['Language:', 'English']",Length: 5 hrs and 17 mins,https://m.media-amazon.com/images/I/41hzdiA1GEL._SL500_.jpg,https://www.audible.in/pd/The-12-Week-Year-Audiobook/1663702713
Empowered,"Ordinary People, Extraordinary Products",Marty Cagan,4.5 out of 5 stars,8 ratings,₹586.00,"['Language:', 'English']",Length: 11 hrs and 9 mins,https://m.media-amazon.com/images/I/416W8xakAkL._SL500_.jpg,https://www.audible.in/pd/Empowered-Audiobook/1663709777
The Art of Closing the Sale,The Key to Making More Money Faster in the World of Professional Selling,Brian Tracy,5 out of 5 stars,24 ratings,₹791.00,"['Language:', 'English']",Length: 4 hrs and 26 mins,https://m.media-amazon.com/images/I/51G7rs6wCWL._SL500_.jpg,https://www.audible.in/pd/The-Art-of-Closing-the-Sale-Audiobook/B01NGYRE1E
Business Sutra,A Very Indian Approach to Management,Devdutt Pattanaik,4.5 out of 5 stars,34 ratings,₹530.00,"['Language:', 'English']",Length: 11 hrs and 26 mins,https://m.media-amazon.com/images/I/41U1ABkwTFL._SL500_.jpg,https://www.audible.in/pd/Business-Sutra-Audiobook/B01MT0WWUU
The Prosperous Coach: Increase Income and Impact for You and Your Clients,,Steve Chandler,4.5 out of 5 stars,24 ratings,₹501.00,"['Language:', 'English']",Length: 4 hrs and 20 mins,https://m.media-amazon.com/images/I/51rQ+weMJlL._SL500_.jpg,https://www.audible.in/pd/The-Prosperous-Coach-Increase-Income-and-Impact-for-You-and-Your-Clients-Audiobook/B079TLQ78G
HBR's 10 Must Reads on Communication,,Harvard Business Review,4 out of 5 stars,49 ratings,₹668.00,"['Language:', 'English']",Length: 6 hrs and 59 mins,https://m.media-amazon.com/images/I/51-zF8ddCSL._SL500_.jpg,https://www.audible.in/pd/HBRs-10-Must-Reads-on-Communication-Audiobook/B079CNGVTM
Super Pumped,The Battle for Uber,Mike Isaac,4.5 out of 5 stars,59 ratings,"₹1,171.00","['Language:', 'English']",Length: 12 hrs and 52 mins,https://m.media-amazon.com/images/I/51k1TaV6bCL._SL500_.jpg,https://www.audible.in/pd/Super-Pumped-Audiobook/B07RV3GN1L
The Daily Trading Coach,101 Lessons for Becoming Your Own Trading Psychologist,Brett N. Steenbarger,4.5 out of 5 stars,9 ratings,₹836.00,"['Language:', 'English']",Length: 14 hrs and 21 mins,https://m.media-amazon.com/images/I/51zU75JGgvL._SL500_.jpg,https://www.audible.in/pd/The-Daily-Trading-Coach-Audiobook/B08BX6NGXJ
Site Reliability Engineering,How Google Runs Production Systems,Betsy Beyer,5 out of 5 stars,5 ratings,"₹1,675.00","['Language:', 'English']",Length: 20 hrs and 8 mins,https://m.media-amazon.com/images/I/51Hs5kIMdcL._SL500_.jpg,https://www.audible.in/pd/Site-Reliability-Engineering-Audiobook/B08VL74Z2L
Ca$hvertising,How to Use More Than 100 Secrets of Ad-Agency Psychology to Make Big Money Selling Anything to Anyone,Drew Eric Whitman,4.5 out of 5 stars,19 ratings,₹468.00,"['Language:', 'English']",Length: 6 hrs and 17 mins,https://m.media-amazon.com/images/I/51iqfHOc-ZL._SL500_.jpg,https://www.audible.in/pd/Cahvertising-Audiobook/B071L8DCM8
This Is Marketing,You Can’t Be Seen Until You Learn to See,Seth Godin,4 out of 5 stars,185 ratings,₹820.00,"['Language:', 'English']",Length: 7 hrs and 2 mins,https://m.media-amazon.com/images/I/51SsXDzhIfL._SL500_.jpg,https://www.audible.in/pd/This-Is-Marketing-Audiobook/B07JZ3NY5Q
How to Decide,Simple Tools for Making Better Choices,Annie Duke,4.5 out of 5 stars,24 ratings,₹879.00,"['Language:', 'English']",Length: 6 hrs and 39 mins,https://m.media-amazon.com/images/I/41RypuezWVL._SL500_.jpg,https://www.audible.in/pd/How-to-Decide-Audiobook/B088P3CBS8
Playing to Win,How Strategy Really Works,Roger L. Martin,4.5 out of 5 stars,27 ratings,₹601.00,"['Language:', 'English']",Length: 7 hrs and 9 mins,https://m.media-amazon.com/images/I/51g+-J-995L._SL500_.jpg,https://www.audible.in/pd/Playing-to-Win-Audiobook/B079B4WBT6
Product Leadership,How Top Product Managers Launch Awesome Products and Build Successful Teams,Richard Banfield,4.5 out of 5 stars,2 ratings,"₹1,340.00","['Language:', 'English']",Length: 7 hrs and 41 mins,https://m.media-amazon.com/images/I/517V1Qfb06L._SL500_.jpg,https://www.audible.in/pd/Product-Leadership-Audiobook/B08VKK7X9W
Scrum,The art of doing twice the work in half the time,Jeff Sutherland,4.5 out of 5 stars,106 ratings,₹820.00,"['Language:', 'English']",Length: 6 hrs and 43 mins,https://m.media-amazon.com/images/I/51dDKmTz3-L._SL500_.jpg,https://www.audible.in/pd/Scrum-Audiobook/B079YVKYZV
Chanakya's 7 Secrets of Leadership,,D. Sivanandhan,4 out of 5 stars,59 ratings,₹325.00,"['Language:', 'English']",Length: 7 hrs and 23 mins,https://m.media-amazon.com/images/I/51TsSh5eCTL._SL500_.jpg,https://www.audible.in/pd/Chanakyas-7-Secrets-of-Leadership-Audiobook/B076588HZ3
Understanding Digital Marketing,Marketing Strategies for Engaging the Digital Generation,Damian Ryan,4.5 out of 5 stars,11 ratings,"₹1,055.00","['Language:', 'English']",Length: 16 hrs and 1 min,https://m.media-amazon.com/images/I/51J0OcDcTDL._SL500_.jpg,https://www.audible.in/pd/Understanding-Digital-Marketing-Audiobook/B07L383BLZ
Made to Stick,Why Some Ideas Survive and Others Die,Chip Heath,4.5 out of 5 stars,101 ratings,₹754.00,"['Language:', 'English']",Length: 8 hrs and 37 mins,https://m.media-amazon.com/images/I/51fhNaNM87L._SL500_.jpg,https://www.audible.in/pd/Made-to-Stick-Audiobook/B079TNM372
Dream With Your Eyes Open,An Entrepreneurial Journey,Ronnie Screwvala,4.5 out of 5 stars,652 ratings,₹0.00,"['Language:', 'English']",Length: 7 hrs and 19 mins,https://m.media-amazon.com/images/I/51KuPrTvuJL._SL500_.jpg,https://www.audible.in/pd/Dream-With-Your-Eyes-Open-Audiobook/B07XH7LV1Q
Product Management in Practice,A Real-World Guide to the Key Connective Role of the 21st Century,Matt LeMay,4 out of 5 stars,16 ratings,"₹1,172.00","['Language:', 'English']",Length: 5 hrs and 16 mins,https://m.media-amazon.com/images/I/51r-X2U6vaL._SL500_.jpg,https://www.audible.in/pd/Product-Management-in-Practice-Audiobook/B08V17F46Q
Naked Money,A Revealing Look at What It Is and Why It Matters,Charles Wheelan,4.5 out of 5 stars,21 ratings,₹836.00,"['Language:', 'English']",Length: 13 hrs and 11 mins,https://m.media-amazon.com/images/I/41IlSWuA8SL._SL500_.jpg,https://www.audible.in/pd/Naked-Money-Audiobook/B079F5Z3SH
The Greatness Guide,101 Lessons for Making What’s Good at Work and in Life Even Better,Robin Sharma,4.5 out of 5 stars,78 ratings,₹586.00,"['Language:', 'English']",Length: 4 hrs and 17 mins,https://m.media-amazon.com/images/I/51SL1z8vGKL._SL500_.jpg,https://www.audible.in/pd/The-Greatness-Guide-Audiobook/168441427X
Let's Build a Company,A Start-Up Story Minus the Bulls--t,Harpreet Grover,4.5 out of 5 stars,45 ratings,₹879.00,"['Language:', 'English']",Length: 6 hrs and 6 mins,https://m.media-amazon.com/images/I/51J4nhXRWyL._SL500_.jpg,https://www.audible.in/pd/Lets-Build-a-Company-Audiobook/0143497243
12 Months to $1 Million,"How to Pick a Winning Product, Build a Real Business, and Become a Seven-Figure Entrepreneur",Ryan Daniel Moran,4.5 out of 5 stars,27 ratings,₹668.00,"['Language:', 'English']",Length: 7 hrs and 38 mins,https://m.media-amazon.com/images/I/51Y80DfRruL._SL500_.jpg,https://www.audible.in/pd/12-Months-to-1-Million-Audiobook/B08F6DRK46
Soundtracks,The Surprising Solution to Overthinking,Jon Acuff,4.5 out of 5 stars,6 ratings,₹703.00,"['Language:', 'English']",Length: 5 hrs and 14 mins,https://m.media-amazon.com/images/I/41OKdHPw1rL._SL500_.jpg,https://www.audible.in/pd/Soundtracks-Audiobook/1705015670
No Filter,The Inside Story of Instagram,Sarah Frier,4.5 out of 5 stars,154 ratings,₹888.00,"['Language:', 'English']",Length: 11 hrs and 20 mins,https://m.media-amazon.com/images/I/41vOORRMU7L._SL500_.jpg,https://www.audible.in/pd/No-Filter-Audiobook/1473576059
Charlie Munger,The Complete Investor,Tren Griffin,4.5 out of 5 stars,99 ratings,₹844.00,"['Language:', 'English']",Length: 6 hrs and 21 mins,https://m.media-amazon.com/images/I/411hDfeZsqL._SL500_.jpg,https://www.audible.in/pd/Charlie-Munger-Audiobook/B079VVLXSN
Be Obsessed or Be Average,,Grant Cardone,5 out of 5 stars,112 ratings,₹656.00,"['Language:', 'English']",Length: 11 hrs and 4 mins,https://m.media-amazon.com/images/I/51O9QWQRXSL._SL500_.jpg,https://www.audible.in/pd/Be-Obsessed-or-Be-Average-Audiobook/B079B8X11Y
The 5 Levels of Leadership (10th Anniversary Edition),Proven Steps to Maximize Your Potential,John C. Maxwell,5 out of 5 stars,5 ratings,₹500.00,"['Language:', 'English']",Length: 7 hrs and 17 mins,https://m.media-amazon.com/images/I/41zpj-mUqKL._SL500_.jpg,https://www.audible.in/pd/The-5-Levels-of-Leadership-Audiobook/1549108794
Hard Times Create Strong Men,Why the World Craves Leadership and How You Can Step Up to Fill the Need,Stefan Aarnio,4 out of 5 stars,8 ratings,₹836.00,"['Language:', 'English']",Length: 16 hrs and 13 mins,https://m.media-amazon.com/images/I/51X71KEG5HL._SL500_.jpg,https://www.audible.in/pd/Hard-Times-Create-Strong-Men-Audiobook/B07MXQVXJK
How Successful People Think,"Change Your Thinking, Change Your Life",John C. Maxwell,5 out of 5 stars,10 ratings,₹500.00,"['Language:', 'English']",Length: 3 hrs and 39 mins,https://m.media-amazon.com/images/I/51ISaskSxlL._SL500_.jpg,https://www.audible.in/pd/How-Successful-People-Think-Audiobook/B079P4G62K
"Change Your Questions, Change Your Life","12 Powerful Tools for Leadership, Coaching, and Life",Marilee G. Adams PhD,5 out of 5 stars,9 ratings,₹668.00,"['Language:', 'English']",Length: 5 hrs and 20 mins,https://m.media-amazon.com/images/I/51AqvrlKJfL._SL500_.jpg,https://www.audible.in/pd/Change-Your-Questions-Change-Your-Life-Audiobook/B076YFYMG9
The Law of Success,From the Master Mind to the Golden Rule (in Sixteen Lessons),Napoleon Hill,4.5 out of 5 stars,8 ratings,₹586.00,"['Language:', 'English']",Length: 24 hrs and 19 mins,https://m.media-amazon.com/images/I/61kp3UZyinL._SL500_.jpg,https://www.audible.in/pd/The-Law-of-Success-Audiobook/B079VGBSGY
Great by Choice,"Uncertainty, Chaos and Luck - Why Some Thrive Despite Them All",Morten T Hansen,5 out of 5 stars,22 ratings,₹683.00,"['Language:', 'English']",Length: 8 hrs and 33 mins,https://m.media-amazon.com/images/I/51vv6geddKL._SL500_.jpg,https://www.audible.in/pd/Great-by-Choice-Audiobook/B079X44Z7R
Expert Secrets,The Underground Playbook for Converting Your Online Visitors into Lifelong Customers,Russell Brunson,4.5 out of 5 stars,34 ratings,₹750.00,"['Language:', 'English']",Length: 6 hrs and 26 mins,https://m.media-amazon.com/images/I/416wpR92i5L._SL500_.jpg,https://www.audible.in/pd/Expert-Secrets-Audiobook/B08B9HM8QJ
Business Adventures,Twelve Classic Tales from the World of Wall Street,John Brooks,3.5 out of 5 stars,36 ratings,"₹1,131.00","['Language:', 'English']",Length: 16 hrs and 53 mins,https://m.media-amazon.com/images/I/51b8+3LQxhL._SL500_.jpg,https://www.audible.in/pd/Business-Adventures-Audiobook/B079B7DS44
Developing the Leader Within You 2.0,,John C. Maxwell,5 out of 5 stars,21 ratings,"₹1,181.00","['Language:', 'English']",Length: 7 hrs and 44 mins,https://m.media-amazon.com/images/I/51RYZz6DRzL._SL500_.jpg,https://www.audible.in/pd/Developing-the-Leader-Within-You-20-Audiobook/B079FZK942
HBR's 10 Must Reads on Mental Toughness,HBR's 10 Must Reads Series,Harvard Business Review,4 out of 5 stars,19 ratings,₹586.00,"['Language:', 'English']",Length: 4 hrs and 30 mins,https://m.media-amazon.com/images/I/417YTEm2DCL._SL500_.jpg,https://www.audible.in/pd/HBRs-10-Must-Reads-on-Mental-Toughness-Audiobook/B082T3GSG9
Exactly What to Say,The Magic Words for Influence and Impact,Phil M. Jones,4.5 out of 5 stars,84 ratings,₹233.00,"['Language:', 'English']",Length: 1 hr and 14 mins,https://m.media-amazon.com/images/I/51R6B8Gj6GL._SL500_.jpg,https://www.audible.in/pd/Exactly-What-to-Say-Audiobook/B077ZF2LB9
Managing Projects,,Harvard Business Review,4.5 out of 5 stars,11 ratings,₹233.00,"['Language:', 'English']",Length: 1 hr and 11 mins,https://m.media-amazon.com/images/I/51KTzI5qwOL._SL500_.jpg,https://www.audible.in/pd/Managing-Projects-Audiobook/B01N0T6NI0
